,participant_id,nps_string,nps_numeric,nps_score
0,2,10(Extremely likely),10,1
1,8,10(Extremely likely),10,1
2,9,10(Extremely likely),10,1
3,10,10(Extremely likely),10,1
4,11,10(Extremely likely),10,1
5,12,9,9,1
6,13,7,7,0
7,14,10(Extremely likely),10,1
8,15,8,8,0
9,17,10(Extremely likely),10,1
10,19,10(Extremely likely),10,1
11,20,10(Extremely likely),10,1
12,21,10(Extremely likely),10,1
13,22,9,9,1
14,24,10(Extremely likely),10,1
15,25,10(Extremely likely),10,1
16,26,10(Extremely likely),10,1
17,27,10(Extremely likely),10,1
18,28,10(Extremely likely),10,1
19,29,8,8,0
20,30,7,7,0
21,31,9,9,1
22,32,10(Extremely likely),10,1
23,33,10(Extremely likely),10,1
24,34,10(Extremely likely),10,1
25,36,10(Extremely likely),10,1
26,37,8,8,0
27,38,10(Extremely likely),10,1
28,42,7,7,0
29,43,10(Extremely likely),10,1
30,44,10(Extremely likely),10,1
31,45,9,9,1
32,46,10(Extremely likely),10,1
33,55,10(Extremely likely),10,1
34,56,10(Extremely likely),10,1
35,57,10(Extremely likely),10,1
36,58,10(Extremely likely),10,1
37,59,9,9,1
38,60,10(Extremely likely),10,1
39,61,9,9,1
40,62,9,9,1
41,63,8,8,0
42,67,10(Extremely likely),10,1
43,69,10(Extremely likely),10,1
44,70,10(Extremely likely),10,1
45,71,9,9,1
46,72,10(Extremely likely),10,1
47,74,9,9,1
48,81,10(Extremely likely),10,1
49,85,10(Extremely likely),10,1
50,86,10(Extremely likely),10,1
51,87,9,9,1
52,88,10(Extremely likely),10,1
53,89,9,9,1
54,90,10(Extremely likely),10,1
55,92,8,8,0
56,93,0 (Not at all likely),0,-1
57,96,4,4,-1
58,98,10(Extremely likely),10,1
59,99,10(Extremely likely),10,1
60,103,10(Extremely likely),10,1
61,104,8,8,0
62,105,9,9,1
63,106,10(Extremely likely),10,1
64,107,10(Extremely likely),10,1
65,108,8,8,0
66,109,8,8,0
67,117,10(Extremely likely),10,1
68,118,10(Extremely likely),10,1
69,119,10(Extremely likely),10,1
70,120,10(Extremely likely),10,1
71,121,10(Extremely likely),10,1
72,122,10(Extremely likely),10,1
73,123,8,8,0
74,124,10(Extremely likely),10,1
75,125,8,8,0
76,126,10(Extremely likely),10,1
77,127,7,7,0
78,128,10(Extremely likely),10,1
79,129,10(Extremely likely),10,1
80,130,8,8,0
81,131,7,7,0
82,132,10(Extremely likely),10,1
83,133,8,8,0
84,134,10(Extremely likely),10,1
85,135,8,8,0
86,136,8,8,0
87,137,10(Extremely likely),10,1
88,138,10(Extremely likely),10,1
89,139,10(Extremely likely),10,1
90,140,6,6,-1
91,142,7,7,0
92,143,7,7,0
93,144,10(Extremely likely),10,1
94,145,10(Extremely likely),10,1
95,146,8,8,0
96,147,9,9,1
97,148,10(Extremely likely),10,1
98,149,10(Extremely likely),10,1
99,150,6,6,-1
100,151,10(Extremely likely),10,1
101,152,9,9,1
102,153,10(Extremely likely),10,1
103,154,7,7,0
104,155,10(Extremely likely),10,1
105,156,8,8,0
106,157,7,7,0
107,158,10(Extremely likely),10,1
108,159,10(Extremely likely),10,1
109,160,10(Extremely likely),10,1
110,161,8,8,0
