,participant_id,valuable_experience,chance_of_job,program_community,broader_movement,mentor,next_generation_leaders,relationships_virtual_hybrid
0,2,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1,8,Strongly Agree,Improved my chances a great deal,Agree,Somewhat Agree,Agree,Agree,Agree
2,9,Strongly Agree,Improved my chances quite a bit,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree
3,10,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
4,11,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
5,12,Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
6,13,Neither Agree nor Disagree,Improved my chances quite a bit,Somewhat Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Agree
7,14,Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
8,15,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
9,17,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
10,19,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
11,20,Strongly Agree,Improved my chances a great deal,Agree,Agree,Strongly Agree,Agree,Agree
12,21,Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
13,22,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
14,24,Strongly Agree,Improved my chances quite a bit,Somewhat Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree
15,25,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
16,26,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
17,27,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
18,28,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
19,29,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
20,30,Agree,Improved my chances quite a bit,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree
21,31,Strongly Agree,Improved my chances a great deal,Agree,Somewhat Agree,Agree,Agree,Agree
22,32,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
23,33,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
24,34,Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Agree,Agree
25,36,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
26,37,Agree,Improved my chances a great deal,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree
27,38,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
28,42,Agree,Improved my chances a great deal,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
29,43,Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
30,44,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
31,45,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Strongly Agree,Agree
32,46,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree
33,55,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
34,56,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
